Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
lay,hand,414,1662,21
hand,shoulder,1662,175,10
want,speak,1315,1198,12
fresh,air,75,292,18
talk,nonsense,1065,277,46
win,tell,639,2482,18
little,finger,1465,192,19
good,time,1595,2625,13
good,anything,1595,796,11
hour,half,508,387,10
nothing,nothing,1567,1567,29
time,something,2625,1444,10
alexandrovna,begin,242,1745,11
nothing,induce,1567,37,11
cry,alexandrovna,1704,242,16
write,letter,602,544,37
want,show,1315,660,13
eye,flash,1211,142,43
squeeze,hand,56,1662,11
good,manner,1595,155,12
word,honour,1439,216,17
little,time,1465,2625,14
everything,everything,811,811,21
utter,cry,169,1704,10
kiss,hand,308,1662,50
sit,wait,1134,639,14
expression,face,318,1410,36
love,brother,1234,548,11
lip,quiver,260,69,11
speak,truth,1198,328,19
old,age,1356,157,17
twenty,minute,188,677,16
anything,sort,796,699,12
little,thing,1465,1295,13
cut,throat,174,48,16
many,thing,532,1295,25
dmitri,prokofitch,427,23,23
look,thing,2970,1295,16
clever,man,145,2546,16
begin,walk,1745,563,10
wear,dress,214,285,12
round,neck,493,81,21
speak,word,1198,1439,16
much,surprise,1227,347,11
send,message,591,60,10
young,woman,776,1047,22
show,letter,660,544,11
dead,man,220,2546,20
understand,word,1051,1439,19
air,dignity,292,121,12
eye,meet,1211,508,12
sit,opposite,1134,88,16
previous,night,81,587,11
fall,love,272,1234,22
dare,speak,326,1198,11
put,end,1071,622,16
strange,smile,548,734,13
need,money,499,993,22
beg,forgiveness,317,63,14
use,sit,663,1134,11
begin,think,1745,2317,16
laugh,aloud,1027,149,12
want,marry,1315,368,12
burst,tear,159,449,35
everything,seem,811,1349,13
seem,look,1349,2970,11
mean,escape,1062,139,11
beg,pardon,317,72,30
cry,dounia,1704,321,12
time,life,2625,1043,22
pang,heart,27,897,12
finish,sentence,185,88,13
want,talk,1315,1065,11
drop,eye,255,1211,24
course,course,1125,1125,13
sonia,look,399,2970,11
nothing,sort,1567,699,17
sonia,stand,399,1039,10
want,look,1315,2970,10
whole,world,889,429,47
reach,house,258,888,10
listen,listen,702,702,11
enter,room,276,1129,36
burst,laugh,159,1027,27
round,table,493,520,12
sit,corner,1134,304,11
look,eye,2970,1211,16
present,moment,405,1301,18
stand,ceremony,1039,51,13
want,hear,1315,1132,13
whole,secret,889,292,10
hold,forth,550,65,12
cry,jump,1704,205,13
tell,truth,2482,328,50
certain,person,460,382,12
commit,crime,103,165,10
law,nature,141,225,30
set,mind,420,851,17
mind,rest,851,310,15
good,tell,1595,2482,16
last,word,1586,1439,44
walk,beside,563,231,11
state,excitement,248,159,12
poor,thing,422,1295,10
bend,head,82,804,10
arkady,ivanovitch,11,82,11
common,sense,90,168,14
cry,laugh,1704,1027,10
last,drop,1586,255,10
poor,man,422,2546,15
sum,money,128,993,21
time,day,2625,1711,11
think,something,2317,1444,24
future,life,181,1043,10
great,pleasure,1202,121,15
distant,relation,40,169,12
old,day,1356,1711,28
tell,story,2482,386,72
seem,understand,1349,1051,13
tell,secret,2482,292,12
pyotr,look,834,2970,15
look,watch,2970,300,13
relapse,silence,24,305,14
great,importance,1202,70,19
hand,foot,1662,308,10
public,opinion,161,251,10
throw,round,329,493,11
great,impression,1202,178,12
nothing,tell,1567,2482,10
cry,sonia,1704,399,12
borrow,money,45,993,14
answer,question,818,897,68
pace,room,145,1129,10
cry,aloud,1704,149,17
hide,face,217,1410,41
face,hand,1410,1662,45
kiss,foot,308,308,12
pray,god,148,803,14
god,god,803,803,11
saith,unto,13,30,12
thou,art,169,38,16
turn,look,1279,2970,10
understand,nothing,1051,1567,15
think,moment,2317,1301,13
turn,crimson,1279,58,12
lay,stress,414,14,10
hour,time,508,2625,10
listen,silence,702,305,13
important,matter,191,609,12
poor,fellow,422,375,20
talk,talk,1065,1065,15
man,tell,2546,2482,14
young,friend,776,606,11
bundle,note,55,456,12
tell,straight,2482,290,11
present,condition,405,163,10
flush,crimson,129,58,21
seem,something,1349,1444,10
rub,hand,32,1662,12
little,pole,1465,125,10
heart,soul,897,341,11
table,lay,520,414,16
whole,family,889,388,12
last,minute,1586,677,25
think,fit,2317,217,17
honourable,man,63,2546,12
man,love,2546,1234,17
end,table,622,520,11
want,kill,1315,432,11
strike,table,344,520,11
table,fist,520,82,12
rise,chair,287,362,12
good,friend,1595,606,11
cry,pyotr,1704,834,28
produce,effect,60,117,20
seem,feel,1349,533,13
whole,company,889,150,10
large,sum,201,128,12
corner,room,304,1129,20
great,friend,1202,606,20
little,hand,1465,1662,12
hand,press,1662,128,11
seize,hand,202,1662,19
throw,arm,329,291,10
unhappy,man,142,2546,12
twelve,year,82,871,10
try,persuade,630,125,18
wait,moment,639,1301,13
