Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq,t_score,chi_square,likelihood_ratio
last,year,1586,871,31,5.151244016174505,354.7062752682234,103.91519940805006
marfa,ignatyevna,143,45,30,5.475253226552415,83250.22059320743,422.5515748336627
alexey,yegorytch,226,31,30,5.47507821318908,76460.3086499667,414.83846316618803
new,idea,511,798,30,5.352240287355415,1255.373447443226,169.8958732534683
cry,alyosha,1704,1239,30,4.830118721419477,197.46959660212136,75.65300029352056
second,time,304,2625,30,5.232635970949419,613.1456874725745,132.0096294871471
young,girl,776,465,29,5.272675457651559,1330.913023436595,168.6398369493916
third,time,156,2625,29,5.257506042548354,1166.0251631200713,165.92035801883546
grigory,vassilyevitch,188,29,28,5.289772915055067,85601.32976903714,397.8604781248165
alexey,nilitch,226,29,28,5.289423293412427,71198.77328534887,386.7826598957641
great,thing,1202,1295,28,4.797657292984899,246.6303444423021,82.57911879019754
previous,day,81,1711,27,5.151376053343576,3079.495084477785,213.2360662948469
whole,day,889,1711,27,4.704717949079999,234.03642106363728,79.1382407542298
brother,ivan,548,797,27,5.055044068069382,940.9770820799587,143.4796822116849
face,look,1410,2970,27,3.8431785500765785,56.724881290109956,33.00924603136227
princess,bielokonski,54,31,26,5.09846837032133,240492.54761315766,438.11659001640334
marya,kondratyevna,125,26,26,5.097949492307104,123846.94945605943,394.23075326849124
forty,year,87,871,26,5.074070897295845,5262.029426553904,233.50357251467742
cry,ivan,1704,797,26,4.651886261953372,246.77881900941708,79.4572988052866
loud,voice,110,588,26,5.077724443821138,6173.70487340117,239.7354943492237
old,day,1356,1711,26,4.335150742746839,125.45163497019027,54.87052723777598
thousand,year,614,871,26,4.922945370991386,701.8448617386598,125.86440458845811
cry,pyotr,1704,834,26,4.631128507485795,233.73063625023357,77.30634936427295
sick,man,120,2546,26,4.998430927992387,1266.500491534741,159.03600939729355
good,lord,1595,121,26,5.035478357275854,2034.7592316693974,177.08966082614108
brother,dmitri,548,427,25,4.921434087444684,1541.413616242891,159.57111058275697
old,friend,1356,606,25,4.724095972924514,404.4356111427082,98.03033064537367
last,week,1586,199,25,4.894030231605525,1130.111553075625,144.1412952954584
ask,alyosha,1621,1239,25,4.325658252583654,138.7376607620327,57.206701524907594
nikodim,fomitch,24,26,24,4.8987656525811625,549799.385662948,481.8884258802158
afanasy,ivanovitch,34,82,24,4.898024090754303,123016.84255707367,385.5630592802883
poor,woman,422,1047,24,4.747571339444011,729.2885208876168,121.67846531274895
thou,hast,169,33,24,4.897068353261182,61473.395053829794,332.3543667110641
dear,prince,480,1984,24,4.572637452777499,313.88180744003967,86.28733380127714
peasant,woman,259,1047,24,4.806053632851457,1217.7167833712808,145.4418985533192
investigate,lawyer,31,102,24,4.897895928035612,108460.78709200732,383.16288144684313
chief,thing,140,1295,24,4.83685140829756,1844.774127000066,166.52084678884816
madame,virginsky,247,109,24,4.889753483225994,12695.97299207561,255.68133703604016
left,hand,152,1662,24,4.812410023944998,1310.587886930107,150.44169337435665
dmitri,prokofitch,427,23,23,4.792393668567367,32039.178079878016,288.3630555023617
catch,sight,309,144,23,4.780255636463194,7035.798269987194,219.46420612252652
captain,lebyadkin,258,141,23,4.783097353683718,8616.11978773899,229.06127343893044
begin,talk,1745,1065,23,4.145287260495144,126.67658012923607,52.361441482669306
chapter,ii,172,56,22,4.686968286902378,29887.838429217532,276.45839144631236
many,time,532,2625,22,4.1905822948889195,164.79148154102268,59.94353552769736
shake,hand,194,1662,22,4.575012749131052,850.7046734140131,122.56927139362698
head,clerk,804,136,22,4.651279497460523,2592.8468664831194,167.55867266747228
